"","title","source_name_ch1","condition"
"GSM1045191","Normal breast, N1_15_12_04","Breast tissue, normal","normal"
"GSM1045192","Normal breast, N4_14_12_04","Breast tissue, normal","normal"
"GSM1045193","Normal breast, N5_15_12_04","Breast tissue, normal","normal"
"GSM1045194","Normal breast, N6_14_12_04","Breast tissue, normal","normal"
"GSM1045195","Normal breast, P1_15_12_04","Breast tissue, normal","normal"
"GSM1045196","Normal breast, P10_26_1_05","Breast tissue, normal","normal"
"GSM1045197","Normal breast, P11_25_1_05","Breast tissue, normal","normal"
"GSM1045198","Normal breast, P12_25_1_05","Breast tissue, normal","normal"
"GSM1045199","Normal breast, P13_25_1_05","Breast tissue, normal","normal"
"GSM1045200","Normal breast, P14_25_1_05","Breast tissue, normal","normal"
"GSM1045201","Normal breast, P18_25_1_05","Breast tissue, normal","normal"
"GSM1045202","Normal breast, P21_25_1_05","Breast tissue, normal","normal"
"GSM1045203","Normal breast, P3_22_12_04","Breast tissue, normal","normal"
"GSM1045204","Normal breast, P4_14_12_04","Breast tissue, normal","normal"
"GSM1045205","Normal breast, P5_21_12_04","Breast tissue, normal","normal"
"GSM1045206","Normal breast, P8_25_1_05","Breast tissue, normal","normal"
"GSM1045207","Normal breast, P9_25_1_05","Breast tissue, normal","normal"
"GSM1045208","Breast cancer, S1_21_12_04","Breast tissue, cancer","tumour"
"GSM1045209","Breast cancer, S10_22_12_04","Breast tissue, cancer","tumour"
"GSM1045210","Breast cancer, S11_14_12_04","Breast tissue, cancer","tumour"
"GSM1045211","Breast cancer, S14_21_12_04","Breast tissue, cancer","tumour"
"GSM1045212","Breast cancer, S15_15_12_04","Breast tissue, cancer","tumour"
"GSM1045213","Breast cancer, S16_20_12_04","Breast tissue, cancer","tumour"
"GSM1045214","Breast cancer, S18_22_12_04","Breast tissue, cancer","tumour"
"GSM1045215","Breast cancer, S2_15_12_04","Breast tissue, cancer","tumour"
"GSM1045216","Breast cancer, S20_14_12_04","Breast tissue, cancer","tumour"
"GSM1045217","Breast cancer, S22_9_12_04","Breast tissue, cancer","tumour"
"GSM1045218","Breast cancer, S25_10_12_04","Breast tissue, cancer","tumour"
"GSM1045219","Breast cancer, S26_10_12_04","Breast tissue, cancer","tumour"
"GSM1045220","Breast cancer, S28_7_12_04","Breast tissue, cancer","tumour"
"GSM1045221","Breast cancer, S29_10_12_04","Breast tissue, cancer","tumour"
"GSM1045222","Breast cancer, S3_20_12_04","Breast tissue, cancer","tumour"
"GSM1045223","Breast cancer, S30_14_12_04","Breast tissue, cancer","tumour"
"GSM1045224","Breast cancer, S31_3_12_04","Breast tissue, cancer","tumour"
"GSM1045225","Breast cancer, S32_3_12_04","Breast tissue, cancer","tumour"
"GSM1045226","Breast cancer, S33_3_12_04","Breast tissue, cancer","tumour"
"GSM1045227","Breast cancer, S35_8_12_04","Breast tissue, cancer","tumour"
"GSM1045228","Breast cancer, S36_20_12_04","Breast tissue, cancer","tumour"
"GSM1045229","Breast cancer, S37_8_12_04","Breast tissue, cancer","tumour"
"GSM1045230","Breast cancer, S38_10_12_04","Breast tissue, cancer","tumour"
"GSM1045231","Breast cancer, S5_15_12_04","Breast tissue, cancer","tumour"
"GSM1045232","Breast cancer, S6_20_12_04","Breast tissue, cancer","tumour"
"GSM1045233","Breast cancer, S7_14_12_04","Breast tissue, cancer","tumour"
"GSM1045234","Breast cancer, T1_14_12_04","Breast tissue, cancer","tumour"
"GSM1045235","Breast cancer, T10_8_12_04","Breast tissue, cancer","tumour"
"GSM1045236","Breast cancer, T101A_9_12_04","Breast tissue, cancer","tumour"
"GSM1045237","Breast cancer, T103_9_12_04","Breast tissue, cancer","tumour"
"GSM1045238","Breast cancer, T104_9_12_04","Breast tissue, cancer","tumour"
"GSM1045239","Breast cancer, T105B","Breast tissue, cancer","tumour"
"GSM1045240","Breast cancer, T106_21_12_04","Breast tissue, cancer","tumour"
"GSM1045241","Breast cancer, T107_7_12_04","Breast tissue, cancer","tumour"
"GSM1045242","Breast cancer, T108_21_12_04","Breast tissue, cancer","tumour"
"GSM1045243","Breast cancer, T109_21_12_04","Breast tissue, cancer","tumour"
"GSM1045244","Breast cancer, T11_21_12_04","Breast tissue, cancer","tumour"
"GSM1045245","Breast cancer, T111_14_12_04","Breast tissue, cancer","tumour"
"GSM1045246","Breast cancer, T112_3_12_04","Breast tissue, cancer","tumour"
"GSM1045247","Breast cancer, T113_22_12_04","Breast tissue, cancer","tumour"
"GSM1045248","Breast cancer, T114_7_12_04","Breast tissue, cancer","tumour"
"GSM1045249","Breast cancer, T115_15_12_04","Breast tissue, cancer","tumour"
"GSM1045250","Breast cancer, T119_8_12_04","Breast tissue, cancer","tumour"
"GSM1045251","Breast cancer, T12_22_12_04","Breast tissue, cancer","tumour"
"GSM1045252","Breast cancer, T120_10_12_04","Breast tissue, cancer","tumour"
"GSM1045253","Breast cancer, T122_9_12_04","Breast tissue, cancer","tumour"
"GSM1045254","Breast cancer, T123_14_12_04","Breast tissue, cancer","tumour"
"GSM1045255","Breast cancer, T124_25_1_05","Breast tissue, cancer","tumour"
"GSM1045256","Breast cancer, T125_21_12_04","Breast tissue, cancer","tumour"
"GSM1045257","Breast cancer, T127_8_12_04","Breast tissue, cancer","tumour"
"GSM1045258","Breast cancer, T128_22_12_04","Breast tissue, cancer","tumour"
"GSM1045259","Breast cancer, T129_20_12_04","Breast tissue, cancer","tumour"
"GSM1045260","Breast cancer, T13_9_12_04","Breast tissue, cancer","tumour"
"GSM1045261","Breast cancer, T130_8_12_04","Breast tissue, cancer","tumour"
"GSM1045262","Breast cancer, T131_22_12_04","Breast tissue, cancer","tumour"
"GSM1045263","Breast cancer, T132","Breast tissue, cancer","tumour"
"GSM1045264","Breast cancer, T134_7_12_04","Breast tissue, cancer","tumour"
"GSM1045265","Breast cancer, T14_21_12_04","Breast tissue, cancer","tumour"
"GSM1045266","Breast cancer, T18_22_12_04","Breast tissue, cancer","tumour"
"GSM1045267","Breast cancer, T2_7_12_04","Breast tissue, cancer","tumour"
"GSM1045268","Breast cancer, T20_20_12_04","Breast tissue, cancer","tumour"
"GSM1045269","Breast cancer, T21_21_12_04","Breast tissue, cancer","tumour"
"GSM1045270","Breast cancer, T22_10_12_04","Breast tissue, cancer","tumour"
"GSM1045271","Breast cancer, T23_9_12_04","Breast tissue, cancer","tumour"
"GSM1045272","Breast cancer, T24_10_12_04","Breast tissue, cancer","tumour"
"GSM1045273","Breast cancer, T29_14_12_04","Breast tissue, cancer","tumour"
"GSM1045274","Breast cancer, T30_8_12_04","Breast tissue, cancer","tumour"
"GSM1045275","Breast cancer, T32_3_12_04","Breast tissue, cancer","tumour"
"GSM1045276","Breast cancer, T33_3_12_04","Breast tissue, cancer","tumour"
"GSM1045277","Breast cancer, T34_20_12_04","Breast tissue, cancer","tumour"
"GSM1045278","Breast cancer, T35_3_12_04","Breast tissue, cancer","tumour"
"GSM1045279","Breast cancer, T36_15_12_04","Breast tissue, cancer","tumour"
"GSM1045280","Breast cancer, T38_25_1_05","Breast tissue, cancer","tumour"
"GSM1045281","Breast cancer, T39_14_12_04","Breast tissue, cancer","tumour"
"GSM1045282","Breast cancer, T40_9_12_04","Breast tissue, cancer","tumour"
"GSM1045283","Breast cancer, T41_20_12_04","Breast tissue, cancer","tumour"
"GSM1045284","Breast cancer, T43_9_12_04","Breast tissue, cancer","tumour"
"GSM1045285","Breast cancer, T45_7_12_04","Breast tissue, cancer","tumour"
"GSM1045286","Breast cancer, T47_20_12_04","Breast tissue, cancer","tumour"
"GSM1045287","Breast cancer, T49_10_12_04","Breast tissue, cancer","tumour"
"GSM1045288","Breast cancer, T5_10_12_04","Breast tissue, cancer","tumour"
"GSM1045289","Breast cancer, T51_7_12_04","Breast tissue, cancer","tumour"
"GSM1045290","Breast cancer, T52_15_12_04","Breast tissue, cancer","tumour"
"GSM1045291","Breast cancer, T56_15_12_04","Breast tissue, cancer","tumour"
"GSM1045292","Breast cancer, T62_26_1_05","Breast tissue, cancer","tumour"
"GSM1045293","Breast cancer, T63_22_12_04","Breast tissue, cancer","tumour"
"GSM1045294","Breast cancer, T65_20_12_04","Breast tissue, cancer","tumour"
"GSM1045295","Breast cancer, T66_25_1_05","Breast tissue, cancer","tumour"
"GSM1045296","Breast cancer, T67_7_12_04","Breast tissue, cancer","tumour"
"GSM1045297","Breast cancer, T69_15_12_04","Breast tissue, cancer","tumour"
"GSM1045298","Breast cancer, T70_21_12_04","Breast tissue, cancer","tumour"
"GSM1045299","Breast cancer, T71_14_12_04","Breast tissue, cancer","tumour"
"GSM1045300","Breast cancer, T72_14_12_04","Breast tissue, cancer","tumour"
"GSM1045301","Breast cancer, T73_15_12_04","Breast tissue, cancer","tumour"
"GSM1045302","Breast cancer, T75","Breast tissue, cancer","tumour"
"GSM1045303","Breast cancer, T80_14_12_04","Breast tissue, cancer","tumour"
"GSM1045304","Breast cancer, T81_10_12_04","Breast tissue, cancer","tumour"
"GSM1045305","Breast cancer, T82_15_12_04","Breast tissue, cancer","tumour"
"GSM1045306","Breast cancer, T83_8_12_04","Breast tissue, cancer","tumour"
"GSM1045307","Breast cancer, T94_9_12_04","Breast tissue, cancer","tumour"
"GSM1045308","Breast cancer, T97_3_12_04","Breast tissue, cancer","tumour"
"GSM1045309","Breast cancer, T98_22_12_04","Breast tissue, cancer","tumour"
"GSM1045310","Breast cancer, T99_20_12_04","Breast tissue, cancer","tumour"
"GSM1045311","Breast cancer, T9A_9_12_04","Breast tissue, cancer","tumour"
